idx | actual | ideal | delta | note
 568 | 143    | 252  | -109 | *** MISMATCH
 569 | 140    | 253  | -113 | *** MISMATCH
 570 | 137    | 253  | -116 | *** MISMATCH
 571 | 134    | 254  | -120 | *** MISMATCH
 572 | 131    | 254  | -123 | *** MISMATCH
 573 | 128    | 254  | -126 | *** MISMATCH
 574 | 124    | 255  | -131 | *** MISMATCH
 575 | 121    | 255  | -134 | *** MISMATCH
 576 | 118    | 255  | -137 | *** MISMATCH
 577 | 115    | 255  | -140 | *** MISMATCH
 578 | 112    | 255  | -143 | *** MISMATCH
 579 | 109    | 255  | -146 | *** MISMATCH
 580 | 106    | 255  | -149 | *** MISMATCH
 581 | 103    | 254  | -151 | *** MISMATCH
 582 | 100    | 254  | -154 | *** MISMATCH
 583 |  97    | 254  | -157 | *** MISMATCH
 584 |  93    | 253  | -160 | *** MISMATCH
 585 |  90    | 253  | -163 | *** MISMATCH
 586 |  88    | 252  | -164 | *** MISMATCH
 587 |  85    | 251  | -166 | *** MISMATCH
 588 |  82    | 250  | -168 | *** MISMATCH
 589 |  79    | 250  | -171 | *** MISMATCH
 590 |  76    | 249  | -173 | *** MISMATCH
 591 |  73    | 248  | -175 | *** MISMATCH
 592 |  70    | 246  | -176 | *** MISMATCH
 593 |  67    | 245  | -178 | *** MISMATCH
 594 |  65    | 244  | -179 | *** MISMATCH
 595 |  62    | 243  | -181 | *** MISMATCH
 596 |  59    | 241  | -182 | *** MISMATCH
 597 |  57    | 240  | -183 | *** MISMATCH
 598 |  54    | 238  | -184 | *** MISMATCH
 599 |  52    | 237  | -185 | *** MISMATCH
 600 |  49    | 235  | -186 | *** MISMATCH
 601 |  47    | 234  | -187 | *** MISMATCH
 602 |  44    | 232  | -188 | *** MISMATCH
 603 |  42    | 230  | -188 | *** MISMATCH
 604 |  40    | 228  | -188 | *** MISMATCH
 605 |  37    | 226  | -189 | *** MISMATCH
 606 |  35    | 224  | -189 | *** MISMATCH
 607 |  33    | 222  | -189 | *** MISMATCH
 608 |  31    | 220  | -189 | *** MISMATCH
 609 |  29    | 218  | -189 | *** MISMATCH
 610 |  27    | 215  | -188 | *** MISMATCH
 611 |  25    | 213  | -188 | *** MISMATCH
 612 |  23    | 211  | -188 | *** MISMATCH
 613 |  21    | 208  | -187 | *** MISMATCH
 614 |  20    | 206  | -186 | *** MISMATCH
