addr ��+1 ������λ��:
  byte 806: addr 252 -> 251 (delta=255, val 115->112)
  byte 807: addr 251 -> 250 (delta=255, val 112->109)
  byte 808: addr 250 -> 249 (delta=255, val 109->106)
  byte 809: addr 249 -> 248 (delta=255, val 106->103)
  byte 810: addr 248 -> 247 (delta=255, val 103->100)
  byte 811: addr 247 -> 246 (delta=255, val 100->97)
  byte 812: addr 246 -> 245 (delta=255, val 97->93)
  byte 813: addr 245 -> 244 (delta=255, val 93->90)
  byte 814: addr 244 -> 243 (delta=255, val 90->88)
  byte 815: addr 243 -> 242 (delta=255, val 88->85)
  byte 816: addr 242 -> 241 (delta=255, val 85->82)
  byte 817: addr 241 -> 240 (delta=255, val 82->79)
  byte 818: addr 240 -> 239 (delta=255, val 79->76)
  byte 819: addr 239 -> 238 (delta=255, val 76->73)
  byte 820: addr 238 -> 237 (delta=255, val 73->70)
  byte 821: addr 237 -> 236 (delta=255, val 70->67)
  byte 822: addr 236 -> 235 (delta=255, val 67->65)
  byte 823: addr 235 -> 234 (delta=255, val 65->62)
  byte 824: addr 234 -> 233 (delta=255, val 62->59)
  byte 825: addr 233 -> 232 (delta=255, val 59->57)
  byte 826: addr 232 -> 231 (delta=255, val 57->54)
  byte 827: addr 231 -> 230 (delta=255, val 54->52)
  byte 828: addr 230 -> 229 (delta=255, val 52->49)
  byte 829: addr 229 -> 228 (delta=255, val 49->47)
  byte 830: addr 228 -> 227 (delta=255, val 47->44)
  byte 831: addr 227 -> 226 (delta=255, val 44->42)
  byte 832: addr 226 -> 225 (delta=255, val 42->40)
  byte 833: addr 225 -> 224 (delta=255, val 40->37)
  byte 834: addr 224 -> 223 (delta=255, val 37->35)
  byte 835: addr 223 -> 222 (delta=255, val 35->33)
  byte 836: addr 222 -> 221 (delta=255, val 33->31)
  byte 837: addr 221 -> 220 (delta=255, val 31->29)
  byte 838: addr 220 -> 219 (delta=255, val 29->27)
  byte 839: addr 219 -> 218 (delta=255, val 27->25)
  byte 840: addr 218 -> 217 (delta=255, val 25->23)
  byte 841: addr 217 -> 216 (delta=255, val 23->21)
  byte 842: addr 216 -> 215 (delta=255, val 21->20)
  byte 843: addr 215 -> 214 (delta=255, val 20->18)
  byte 844: addr 214 -> 213 (delta=255, val 18->17)
  byte 845: addr 213 -> 212 (delta=255, val 17->15)
  byte 846: addr 212 -> 211 (delta=255, val 15->14)
  byte 847: addr 211 -> 210 (delta=255, val 14->12)
  byte 848: addr 210 -> 209 (delta=255, val 12->11)
  byte 849: addr 209 -> 208 (delta=255, val 11->10)
  byte 850: addr 208 -> 207 (delta=255, val 10->9)
  byte 851: addr 207 -> 206 (delta=255, val 9->7)
  byte 852: addr 206 -> 205 (delta=255, val 7->6)
  byte 853: addr 205 -> 204 (delta=255, val 6->5)
  byte 854: addr 204 -> 202 (delta=254, val 5->4)
  byte 855: addr 202 -> 201 (delta=255, val 4->3)
  byte 856: addr 201 -> 200 (delta=255, val 3->2)
  byte 857: addr 200 -> 198 (delta=254, val 2->1)
  byte 858: addr 198 -> 195 (delta=253, val 1->0)
  byte 860: addr 196 -> 199 (delta=3, val 1->2)
  byte 861: addr 199 -> 201 (delta=2, val 2->3)
